[0.000000] (-) TimerEvent: {}
[0.000456] (-) JobUnselected: {'identifier': 'examples_rclcpp_async_client'}
[0.000505] (-) JobUnselected: {'identifier': 'examples_rclcpp_cbg_executor'}
[0.000535] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_client'}
[0.000563] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_server'}
[0.000592] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_client'}
[0.000621] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_composition'}
[0.000649] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_publisher'}
[0.000679] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_service'}
[0.000708] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_subscriber'}
[0.000736] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_timer'}
[0.000765] (-) JobUnselected: {'identifier': 'examples_rclcpp_multithreaded_executor'}
[0.000795] (-) JobUnselected: {'identifier': 'examples_rclcpp_wait_set'}
[0.000823] (-) JobUnselected: {'identifier': 'examples_rclpy_executors'}
[0.000851] (-) JobUnselected: {'identifier': 'examples_rclpy_guard_conditions'}
[0.000880] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_client'}
[0.000908] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_server'}
[0.000936] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_client'}
[0.000965] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_publisher'}
[0.000994] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_service'}
[0.001023] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_subscriber'}
[0.001051] (-) JobUnselected: {'identifier': 'examples_rclpy_pointcloud_publisher'}
[0.001079] (-) JobUnselected: {'identifier': 'launch_testing_examples'}
[0.001107] (-) JobUnselected: {'identifier': 'my_basics'}
[0.001136] (-) JobUnselected: {'identifier': 'my_services_actions'}
[0.001774] (-) EventReactorShutdown: {}
